Gene	Gene.name	Level
ENSG00000172725	CORO1B	High
ENSG00000172667	ZMAT3	High
ENSG00000172663	TMEM134	Medium
ENSG00000172661	WASHC2C	Medium
ENSG00000172613	RAD9A	Medium
ENSG00000172590	MRPL52	High
ENSG00000172586	CHCHD1	Medium
ENSG00000172572	PDE3A	Low
ENSG00000172554	SNTG2	Medium
ENSG00000172548	NIPAL4	Medium
ENSG00000172534	HCFC1	Medium
ENSG00000172531	PPP1CA	Medium
ENSG00000172530	BANP	Medium
ENSG00000172508	CARNS1	High
ENSG00000172500	FIBP	Medium
ENSG00000172469	MANEA	Medium
ENSG00000172466	ZNF24	Medium
ENSG00000172465	TCEAL1	Medium
ENSG00000172432	GTPBP2	Medium
ENSG00000172409	CLP1	High
ENSG00000172403	SYNPO2	Low
ENSG00000172380	GNG12	Medium
ENSG00000172379	ARNT2	High
ENSG00000172375	C2CD2L	High
ENSG00000172361	CFAP53	Medium
ENSG00000172354	GNB2	High
ENSG00000172350	ABCG4	Medium
ENSG00000172345	STARD5	High
ENSG00000172340	SUCLG2	High
ENSG00000172339	ALG14	High
ENSG00000172331	BPGM	Medium
ENSG00000172315	TP53RK	Medium
ENSG00000172301	COPRS	Medium
ENSG00000172292	CERS6	High
ENSG00000172270	BSG	Medium
ENSG00000172269	DPAGT1	High
ENSG00000172264	MACROD2	Medium
ENSG00000172262	ZNF131	High
ENSG00000172247	C1QTNF4	High
ENSG00000172244	C5orf34	Medium
ENSG00000172239	PAIP1	Medium
ENSG00000172216	CEBPB	High
ENSG00000172172	MRPL13	Medium
ENSG00000172171	TEFM	Medium
ENSG00000172159	FRMD3	Low
ENSG00000172137	CALB2	High
ENSG00000172115	CYCS	Medium
ENSG00000172113	NME6	Medium
ENSG00000172086	KRCC1	Medium
ENSG00000172071	EIF2AK3	High
ENSG00000172062	SMN1	High
ENSG00000172053	QARS1	High
ENSG00000172037	LAMB2	High
ENSG00000172020	GAP43	High
ENSG00000171992	SYNPO	Medium
ENSG00000171988	JMJD1C	Medium
ENSG00000171984	SHLD1	Medium
ENSG00000171960	PPIH	Medium
ENSG00000171953	ATPAF2	Medium
ENSG00000171951	SCG2	High
ENSG00000171940	ZNF217	Medium
ENSG00000171914	TLN2	Medium
ENSG00000171885	AQP4	High
ENSG00000171867	PRNP	High
ENSG00000171863	RPS7	High
ENSG00000171862	PTEN	Medium
ENSG00000171861	MRM3	Medium
ENSG00000171858	RPS21	High
ENSG00000171843	MLLT3	High
ENSG00000171824	EXOSC10	Medium
ENSG00000171823	FBXL14	Low
ENSG00000171817	ZNF540	High
ENSG00000171813	PWWP2B	Medium
ENSG00000171806	METTL18	Medium
ENSG00000171793	CTPS1	Medium
ENSG00000171766	GATM	Medium
ENSG00000171757	LRRC34	Medium
ENSG00000171735	CAMTA1	Low
ENSG00000171729	TMEM51	Medium
ENSG00000171724	VAT1L	High
ENSG00000171723	GPHN	High
ENSG00000171720	HDAC3	High
ENSG00000171703	TCEA2	Medium
ENSG00000171700	RGS19	Medium
ENSG00000171681	ATF7IP	Medium
ENSG00000171657	GPR82	Medium
ENSG00000171634	BPTF	Medium
ENSG00000171612	SLC25A33	Medium
ENSG00000171604	CXXC5	High
ENSG00000171603	CLSTN1	High
ENSG00000171596	NMUR1	Medium
ENSG00000171587	DSCAM	High
ENSG00000171566	PLRG1	High
ENSG00000171552	BCL2L1	Medium
ENSG00000171551	ECEL1	High
ENSG00000171540	OTP	Medium
ENSG00000171533	MAP6	High
ENSG00000171530	TBCA	Medium
ENSG00000171522	PTGER4	High
ENSG00000171509	RXFP1	Low
ENSG00000171503	ETFDH	Low
ENSG00000171497	PPID	Medium
ENSG00000171490	RSL1D1	High
ENSG00000171476	HOPX	Medium
ENSG00000171475	WIPF2	High
ENSG00000171467	ZNF318	Medium
ENSG00000171444	MCC	High
ENSG00000171435	KSR2	High
ENSG00000171428	NAT1	Low
ENSG00000171421	MRPL36	Medium
ENSG00000171385	KCND3	Medium
ENSG00000171368	TPPP	High
ENSG00000171314	PGAM1	Medium
ENSG00000171311	EXOSC1	Medium
ENSG00000171310	CHST11	Medium
ENSG00000171302	CANT1	Medium
ENSG00000171298	GAA	High
ENSG00000171295	ZNF440	Medium
ENSG00000171291	ZNF439	Medium
ENSG00000171262	FAM98B	High
ENSG00000171246	NPTX1	High
ENSG00000171227	TMEM37	Low
ENSG00000171224	FAM241B	High
ENSG00000171223	JUNB	Medium
ENSG00000171219	CDC42BPG	Low
ENSG00000171206	TRIM8	High
ENSG00000171202	TMEM126A	Medium
ENSG00000171174	RBKS	Low
ENSG00000171161	ZNF672	Medium
ENSG00000171155	C1GALT1C1	High
ENSG00000171150	SOCS5	Low
ENSG00000171148	TADA3	Medium
ENSG00000171132	PRKCE	High
ENSG00000171124	FUT3	Low
ENSG00000171115	GIMAP8	High
ENSG00000171109	MFN1	Medium
ENSG00000171103	TRMT61B	High
ENSG00000171100	MTM1	Low
ENSG00000171097	KYAT1	High
ENSG00000171094	ALK	High
ENSG00000171056	SOX7	Medium
ENSG00000171049	FPR2	Low
ENSG00000171045	TSNARE1	Medium
ENSG00000170989	S1PR1	High
ENSG00000170955	CAVIN3	High
ENSG00000170954	ZNF415	High
ENSG00000170946	DNAJC24	Low
ENSG00000170906	NDUFA3	High
ENSG00000170903	MSANTD4	High
ENSG00000170899	GSTA4	Medium
ENSG00000170893	TRH	High
ENSG00000170892	TSEN34	Low
ENSG00000170889	RPS9	Medium
ENSG00000170881	RNF139	Medium
ENSG00000170876	TMEM43	High
ENSG00000170873	MTSS1	Low
ENSG00000170871	KIAA0232	High
ENSG00000170860	LSM3	Medium
ENSG00000170855	TRIAP1	Medium
ENSG00000170854	RIOX2	High
ENSG00000170837	GPR27	High
ENSG00000170836	PPM1D	Medium
ENSG00000170832	USP32	Medium
ENSG00000170802	FOXN2	Medium
ENSG00000170791	CHCHD7	Medium
ENSG00000170786	SDR16C5	Low
ENSG00000170776	AKAP13	Medium
ENSG00000170775	GPR37	Medium
ENSG00000170759	KIF5B	High
ENSG00000170745	KCNS3	Medium
ENSG00000170734	POLH	Medium
ENSG00000170677	SOCS6	Medium
ENSG00000170638	TRABD	High
ENSG00000170632	ARMC10	Medium
ENSG00000170604	IRF2BP1	Medium
ENSG00000170581	STAT2	Medium
ENSG00000170558	CDH2	High
ENSG00000170545	SMAGP	Medium
ENSG00000170515	PA2G4	High
ENSG00000170502	NUDT9	High
ENSG00000170500	LONRF2	Medium
ENSG00000170473	PYM1	High
ENSG00000170471	RALGAPB	Medium
ENSG00000170464	DNAJC18	Medium
ENSG00000170458	CD14	Medium
ENSG00000170456	DENND5B	Medium
ENSG00000170448	NFXL1	Low
ENSG00000170445	HARS1	High
ENSG00000170430	MGMT	Medium
ENSG00000170412	GPRC5C	High
ENSG00000170390	DCLK2	Medium
ENSG00000170370	EMX2	Medium
ENSG00000170365	SMAD1	Medium
ENSG00000170348	TMED10	High
ENSG00000170345	FOS	Medium
ENSG00000170340	B3GNT2	High
ENSG00000170325	PRDM10	Medium
ENSG00000170322	NFRKB	Medium
ENSG00000170315	UBB	High
ENSG00000170310	STX8	High
ENSG00000170293	CMTM8	Medium
ENSG00000170276	HSPB2	Low
ENSG00000170275	CRTAP	Medium
ENSG00000170270	GON7	Medium
ENSG00000170266	GLB1	Medium
ENSG00000170265	ZNF282	High
ENSG00000170264	FAM161A	Low
ENSG00000170248	PDCD6IP	Medium
ENSG00000170242	USP47	High
ENSG00000170222	ADPRM	Medium
ENSG00000170175	CHRNB1	Medium
ENSG00000170166	HOXD4	Medium
ENSG00000170160	CCDC144A	Low
ENSG00000170145	SIK2	Medium
ENSG00000170144	HNRNPA3	High
ENSG00000170142	UBE2E1	Medium
ENSG00000170091	NSG2	High
ENSG00000170088	TMEM192	High
ENSG00000170075	GPR37L1	Medium
ENSG00000170043	TRAPPC1	High
ENSG00000170037	CNTROB	High
ENSG00000170035	UBE2E3	Medium
ENSG00000170027	YWHAG	High
ENSG00000170017	ALCAM	High
ENSG00000170004	CHD3	High
ENSG00000169992	NLGN2	Medium
ENSG00000169991	IFFO2	High
ENSG00000169989	TIGD4	Medium
ENSG00000169976	SF3B5	High
ENSG00000169967	MAP3K2	Medium
ENSG00000169957	ZNF768	Medium
ENSG00000169946	ZFPM2	High
ENSG00000169925	BRD3	Medium
ENSG00000169919	GUSB	Medium
ENSG00000169914	OTUD3	Medium
ENSG00000169902	TPST1	High
ENSG00000169896	ITGAM	High
ENSG00000169895	SYAP1	High
ENSG00000169884	WNT10B	Medium
ENSG00000169871	TRIM56	Medium
ENSG00000169862	CTNND2	Medium
ENSG00000169860	P2RY1	Medium
ENSG00000169857	AVEN	High
ENSG00000169826	CSGALNACT2	High
ENSG00000169813	HNRNPF	High
ENSG00000169783	LINGO1	High
ENSG00000169764	UGP2	Low
ENSG00000169762	TAPT1	High
ENSG00000169760	NLGN1	High
ENSG00000169758	TMEM266	High
ENSG00000169756	LIMS1	Low
ENSG00000169744	LDB2	High
ENSG00000169738	DCXR	Medium
ENSG00000169715	MT1E	High
ENSG00000169710	FASN	Medium
ENSG00000169696	ASPSCR1	Medium
ENSG00000169684	CHRNA5	High
ENSG00000169683	LRRC45	High
ENSG00000169682	SPNS1	Medium
ENSG00000169676	DRD5	High
ENSG00000169641	LUZP1	High
ENSG00000169627	BOLA2B	Low
ENSG00000169612	RAMAC	High
ENSG00000169609	C15orf40	High
ENSG00000169598	DFFB	Medium
ENSG00000169592	INO80E	High
ENSG00000169583	CLIC3	Low
ENSG00000169567	HINT1	Medium
ENSG00000169564	PCBP1	High
ENSG00000169554	ZEB2	Medium
ENSG00000169550	MUC15	Low
ENSG00000169508	GPR183	High
ENSG00000169504	CLIC4	Medium
ENSG00000169499	PLEKHA2	High
ENSG00000169490	TM2D2	High
ENSG00000169446	MMGT1	Medium
ENSG00000169435	RASSF6	Medium
ENSG00000169429	CXCL8	Low
ENSG00000169410	PTPN9	Medium
ENSG00000169403	PTAFR	Medium
ENSG00000169398	PTK2	Medium
ENSG00000169379	ARL13B	Medium
ENSG00000169375	SIN3A	Medium
ENSG00000169371	SNUPN	High
ENSG00000169313	P2RY12	High
ENSG00000169291	SHE	High
ENSG00000169288	MRPL1	High
ENSG00000169282	KCNAB1	High
ENSG00000169258	GPRIN1	High
ENSG00000169246	NPIPB3	High
ENSG00000169241	SLC50A1	High
ENSG00000169231	THBS3	High
ENSG00000169230	PRELID1	Medium
ENSG00000169223	LMAN2	Low
ENSG00000169220	RGS14	Medium
ENSG00000169217	CD2BP2	Medium
ENSG00000169203	NPIPB12	High
ENSG00000169189	NSMCE1	High
ENSG00000169184	MN1	High
ENSG00000169181	GSG1L	Medium
ENSG00000169169	CPT1C	Medium
ENSG00000169155	ZBTB43	Medium
ENSG00000169131	ZNF354A	High
ENSG00000169129	AFAP1L2	High
ENSG00000169116	PARM1	Medium
ENSG00000169100	SLC25A6	High
ENSG00000169093	ASMTL	High
ENSG00000169087	HSPBAP1	Medium
ENSG00000169084	DHRSX	Medium
ENSG00000169062	UPF3A	Low
ENSG00000169057	MECP2	High
ENSG00000169045	HNRNPH1	High
ENSG00000169032	MAP2K1	Medium
ENSG00000169031	COL4A3	Low
ENSG00000169021	UQCRFS1	High
ENSG00000169020	ATP5ME	High
ENSG00000169019	COMMD8	High
ENSG00000169018	FEM1B	Medium
ENSG00000168993	CPLX1	High
ENSG00000168970	JMJD7-PLA2G4B	High
ENSG00000168961	LGALS9	High
ENSG00000168958	MFF	Medium
ENSG00000168952	STXBP6	Medium
ENSG00000168938	PPIC	Medium
ENSG00000168924	LETM1	High
ENSG00000168918	INPP5D	High
ENSG00000168917	SLC35G2	Low
ENSG00000168916	ZNF608	High
ENSG00000168906	MAT2A	Medium
ENSG00000168904	LRRC28	High
ENSG00000168899	VAMP5	Medium
ENSG00000168894	RNF181	Medium
ENSG00000168884	TNIP2	High
ENSG00000168883	USP39	High
ENSG00000168876	ANKRD49	Medium
ENSG00000168872	DDX19A	Medium
ENSG00000168830	HTR1E	High
ENSG00000168827	GFM1	Medium
ENSG00000168826	ZBTB49	High
ENSG00000168818	STX18	Medium
ENSG00000168806	LCMT2	Medium
ENSG00000168803	ADAL	Medium
ENSG00000168795	ZBTB5	High
ENSG00000168792	ABHD15	Medium
ENSG00000168781	PPIP5K1	Medium
ENSG00000168778	TCTN2	Medium
ENSG00000168769	TET2	High
ENSG00000168765	GSTM4	Medium
ENSG00000168763	CNNM3	High
ENSG00000168758	SEMA4C	Low
ENSG00000168724	DNAJC21	High
ENSG00000168710	AHCYL1	Low
ENSG00000168702	LRP1B	Medium
ENSG00000168701	TMEM208	Medium
ENSG00000168679	SLC16A4	Low
ENSG00000168675	LDLRAD4	High
ENSG00000168672	LRATD2	Medium
ENSG00000168653	NDUFS5	High
ENSG00000168646	AXIN2	High
ENSG00000168621	GDNF	High
ENSG00000168610	STAT3	Medium
ENSG00000168591	TMUB2	High
ENSG00000168575	SLC20A2	High
ENSG00000168569	TMEM223	Medium
ENSG00000168566	SNRNP48	Medium
ENSG00000168564	CDKN2AIP	Medium
ENSG00000168556	ING2	Medium
ENSG00000168539	CHRM1	High
ENSG00000168528	SERINC2	High
ENSG00000168522	FNTA	High
ENSG00000168517	HEXIM2	High
ENSG00000168497	CAVIN2	High
ENSG00000168496	FEN1	Medium
ENSG00000168495	POLR3D	Medium
ENSG00000168490	PHYHIP	High
ENSG00000168487	BMP1	Medium
ENSG00000168461	RAB31	Medium
ENSG00000168439	STIP1	High
ENSG00000168411	RFWD3	Low
ENSG00000168398	BDKRB2	High
ENSG00000168397	ATG4B	Medium
ENSG00000168395	ING5	Medium
ENSG00000168394	TAP1	High
ENSG00000168393	DTYMK	High
ENSG00000168386	FILIP1L	Medium
ENSG00000168385	SEPTIN2	High
ENSG00000168329	CX3CR1	Medium
ENSG00000168314	MOBP	Medium
ENSG00000168310	IRF2	High
ENSG00000168306	ACOX2	Low
ENSG00000168300	PCMTD1	Low
ENSG00000168298	H1-4	High
ENSG00000168297	PXK	High
ENSG00000168291	PDHB	High
ENSG00000168288	MMADHC	High
ENSG00000168286	THAP11	Medium
ENSG00000168283	BMI1	Medium
ENSG00000168282	MGAT2	Medium
ENSG00000168280	KIF5C	Medium
ENSG00000168275	COA6	Medium
ENSG00000168268	NT5DC2	High
ENSG00000168264	IRF2BP2	Medium
ENSG00000168259	DNAJC7	Medium
ENSG00000168237	GLYCTK	High
ENSG00000168234	TTC39C	Medium
ENSG00000168209	DDIT4	High
ENSG00000168172	HOOK3	High
ENSG00000168159	RNF187	Medium
ENSG00000168148	H3-4	High
ENSG00000168137	SETD5	High
ENSG00000168116	KIAA1586	Low
ENSG00000168101	NUDT16L1	High
ENSG00000168092	PAFAH1B2	Low
ENSG00000168090	COPS6	High
ENSG00000168081	PNOC	High
ENSG00000168079	SCARA5	Medium
ENSG00000168071	CCDC88B	Medium
ENSG00000168067	MAP4K2	High
ENSG00000168066	SF1	High
ENSG00000168062	BATF2	Medium
ENSG00000168060	NAALADL1	Low
ENSG00000168040	FADD	Medium
ENSG00000168036	CTNNB1	High
ENSG00000168028	RPSA	High
ENSG00000168016	TRANK1	Low
ENSG00000168014	C2CD3	Low
ENSG00000168010	ATG16L2	High
ENSG00000168003	SLC3A2	High
ENSG00000168002	POLR2G	Medium
ENSG00000168000	BSCL2	Medium
ENSG00000167996	FTH1	High
ENSG00000167987	VPS37C	Medium
ENSG00000167986	DDB1	High
ENSG00000167985	SDHAF2	High
ENSG00000167981	ZNF597	Low
ENSG00000167978	SRRM2	High
ENSG00000167972	ABCA3	High
ENSG00000167971	CASKIN1	High
ENSG00000167969	ECI1	Medium
ENSG00000167967	E4F1	High
ENSG00000167965	MLST8	Medium
ENSG00000167962	ZNF598	Medium
ENSG00000167900	TK1	Low
ENSG00000167881	SRP68	Medium
ENSG00000167880	EVPL	Medium
ENSG00000167874	TMEM88	High
ENSG00000167863	ATP5PD	High
ENSG00000167862	MRPL58	Medium
ENSG00000167861	HID1	High
ENSG00000167851	CD300A	Low
ENSG00000167850	CD300C	Medium
ENSG00000167842	MIS12	Medium
ENSG00000167815	PRDX2	High
ENSG00000167799	NUDT8	Medium
ENSG00000167792	NDUFV1	High
ENSG00000167778	SPRYD3	High
ENSG00000167775	CD320	Medium
ENSG00000167770	OTUB1	Medium
ENSG00000167766	ZNF83	High
ENSG00000167748	KLK1	Low
ENSG00000167741	GGT6	Medium
ENSG00000167740	CYB5D2	Medium
ENSG00000167720	SRR	Medium
ENSG00000167703	SLC43A2	Medium
ENSG00000167702	KIFC2	Medium
ENSG00000167699	GLOD4	High
ENSG00000167693	NXN	Medium
ENSG00000167685	ZNF444	Medium
ENSG00000167680	SEMA6B	Medium
ENSG00000167674	HDGFL2	High
ENSG00000167671	UBXN6	Medium
ENSG00000167670	CHAF1A	Low
ENSG00000167664	TMIGD2	Medium
ENSG00000167658	EEF2	High
ENSG00000167657	DAPK3	Medium
ENSG00000167654	ATCAY	High
ENSG00000167645	YIF1B	Low
ENSG00000167642	SPINT2	Medium
ENSG00000167641	PPP1R14A	High
ENSG00000167635	ZNF146	High
ENSG00000167619	TMEM145	Medium
ENSG00000167617	CDC42EP5	Low
ENSG00000167615	LENG8	High
ENSG00000167614	TTYH1	High
ENSG00000167595	PROSER3	Medium
ENSG00000167588	GPD1	Medium
ENSG00000167566	NCKAP5L	High
ENSG00000167554	ZNF610	High
ENSG00000167553	TUBA1C	High
ENSG00000167552	TUBA1A	High
ENSG00000167548	KMT2D	High
ENSG00000167526	RPL13	High
ENSG00000167522	ANKRD11	High
ENSG00000167515	TRAPPC2L	Medium
ENSG00000167513	CDT1	High
ENSG00000167491	GATAD2A	Medium
ENSG00000167468	GPX4	Low
ENSG00000167460	TPM4	Medium
ENSG00000167447	SMG8	Medium
ENSG00000167434	CA4	Medium
ENSG00000167397	VKORC1	High
ENSG00000167378	IRGQ	Medium
ENSG00000167371	PRRT2	High
ENSG00000167325	RRM1	High
ENSG00000167323	STIM1	High
ENSG00000167315	ACAA2	Medium
ENSG00000167306	MYO5B	Low
ENSG00000167291	TBC1D16	High
ENSG00000167283	ATP5MG	High
ENSG00000167281	RBFOX3	High
ENSG00000167280	ENGASE	Low
ENSG00000167264	DUS2	Low
ENSG00000167261	DPEP2	Medium
ENSG00000167258	CDK12	High
ENSG00000167257	RNF214	High
ENSG00000167220	HDHD2	Medium
ENSG00000167216	KATNAL2	High
ENSG00000167207	NOD2	Low
ENSG00000167202	TBC1D2B	High
ENSG00000167191	GPRC5B	Medium
ENSG00000167186	COQ7	Medium
ENSG00000167183	PRR15L	High
ENSG00000167182	SP2	Medium
ENSG00000167173	C15orf39	Low
ENSG00000167136	ENDOG	High
ENSG00000167130	DOLPP1	Medium
ENSG00000167118	URM1	High
ENSG00000167114	SLC27A4	Medium
ENSG00000167113	COQ4	High
ENSG00000167110	GOLGA2	Medium
ENSG00000167107	ACSF2	Low
ENSG00000167105	TMEM92	Low
ENSG00000167088	SNRPD1	High
ENSG00000167085	PHB1	High
ENSG00000167081	PBX3	Medium
ENSG00000167077	MEI1	Low
ENSG00000167037	SGSM1	High
ENSG00000167004	PDIA3	High
ENSG00000166986	MARS1	High
ENSG00000166979	EVA1C	Medium
ENSG00000166974	MAPRE2	High
ENSG00000166971	AKTIP	High
ENSG00000166965	RCCD1	Medium
ENSG00000166963	MAP1A	High
ENSG00000166949	SMAD3	High
ENSG00000166946	CCNDBP1	High
ENSG00000166938	DIS3L	Medium
ENSG00000166927	MS4A7	Medium
ENSG00000166922	SCG5	Low
ENSG00000166913	YWHAB	High
ENSG00000166912	MTMR10	High
ENSG00000166908	PIP4K2C	High
ENSG00000166902	MRPL16	High
ENSG00000166900	STX3	Low
ENSG00000166897	ELFN2	High
ENSG00000166889	PATL1	High
ENSG00000166888	STAT6	Medium
ENSG00000166886	NAB2	Medium
ENSG00000166863	TAC3	Low
ENSG00000166855	CLPX	Medium
ENSG00000166851	PLK1	Low
ENSG00000166848	TERF2IP	High
ENSG00000166847	DCTN5	Medium
ENSG00000166833	NAV2	Medium
ENSG00000166816	LDHD	Low
ENSG00000166813	KIF7	Medium
ENSG00000166801	FAM111A	Medium
ENSG00000166797	CIAO2A	Medium
ENSG00000166794	PPIB	Medium
ENSG00000166788	SAAL1	Medium
ENSG00000166780	BMERB1	Medium
ENSG00000166750	SLFN5	Medium
ENSG00000166747	AP1G1	High
ENSG00000166741	NNMT	Low
ENSG00000166736	HTR3A	Low
ENSG00000166734	GOLM2	High
ENSG00000166716	ZNF592	Medium
ENSG00000166710	B2M	Medium
ENSG00000166689	PLEKHA7	High
ENSG00000166685	COG1	High
ENSG00000166681	BEX3	High
ENSG00000166669	ATF7IP2	Medium
ENSG00000166598	HSP90B1	High
ENSG00000166595	CIAO2B	Medium
ENSG00000166582	CENPV	High
ENSG00000166579	NDEL1	Medium
ENSG00000166569	CPLX4	Low
ENSG00000166557	TMED3	Low
ENSG00000166526	ZNF3	High
ENSG00000166510	CCDC68	Medium
ENSG00000166503	HDGFL3	High
ENSG00000166501	PRKCB	Medium
ENSG00000166483	WEE1	Low
ENSG00000166478	ZNF143	Medium
ENSG00000166477	LEO1	High
ENSG00000166454	ATMIN	Medium
ENSG00000166446	CDYL2	Medium
ENSG00000166444	DENND2B	High
ENSG00000166441	RPL27A	High
ENSG00000166436	TRIM66	Medium
ENSG00000166426	CRABP1	Medium
ENSG00000166411	IDH3A	High
ENSG00000166405	RIC3	Medium
ENSG00000166402	TUB	High
ENSG00000166401	SERPINB8	Medium
ENSG00000166394	CYB5R2	High
ENSG00000166387	PPFIBP2	Medium
ENSG00000166377	ATP9B	Medium
ENSG00000166348	USP54	High
ENSG00000166341	DCHS1	Medium
ENSG00000166340	TPP1	High
ENSG00000166337	TAF10	High
ENSG00000166333	ILK	Medium
ENSG00000166326	TRIM44	Medium
ENSG00000166313	APBB1	Medium
ENSG00000166295	ANAPC16	High
ENSG00000166292	TMEM100	Medium
ENSG00000166275	BORCS7	Medium
ENSG00000166266	CUL5	High
ENSG00000166263	STXBP4	High
ENSG00000166260	COX11	High
ENSG00000166233	ARIH1	High
ENSG00000166228	PCBD1	Low
ENSG00000166226	CCT2	Medium
ENSG00000166224	SGPL1	High
ENSG00000166200	COPS2	High
ENSG00000166199	ALKBH3	Medium
ENSG00000166197	NOLC1	Medium
ENSG00000166192	SENP8	High
ENSG00000166189	HPS6	Medium
ENSG00000166183	ASPG	Low
ENSG00000166181	API5	Medium
ENSG00000166173	LARP6	High
ENSG00000166171	DPCD	High
ENSG00000166167	BTRC	Medium
ENSG00000166165	CKB	High
ENSG00000166164	BRD7	High
ENSG00000166136	NDUFB8	High
ENSG00000166135	HIF1AN	High
ENSG00000166133	RPUSD2	Medium
ENSG00000166130	IKBIP	Medium
ENSG00000166123	GPT2	Medium
ENSG00000166091	CMTM5	High
ENSG00000166086	JAM3	Medium
ENSG00000166073	GPR176	High
ENSG00000166068	SPRED1	Medium
ENSG00000166037	CEP57	Medium
ENSG00000166033	HTRA1	Low
ENSG00000166025	AMOTL1	Low
ENSG00000166024	R3HCC1L	Medium
ENSG00000166016	ABTB2	High
ENSG00000166004	CEP295	Medium
ENSG00000165997	ARL5B	Medium
ENSG00000165995	CACNB2	High
ENSG00000165983	PTER	Medium
ENSG00000165973	NELL1	Medium
ENSG00000165959	CLMN	Medium
ENSG00000165943	MOAP1	High
ENSG00000165934	CPSF2	High
ENSG00000165929	TC2N	Medium
ENSG00000165916	PSMC3	High
ENSG00000165915	SLC39A13	Medium
ENSG00000165914	TTC7B	High
ENSG00000165912	PACSIN3	Medium
ENSG00000165905	LARGE2	Low
ENSG00000165898	ISCA2	High
ENSG00000165879	FRAT1	High
ENSG00000165868	HSPA12A	Medium
ENSG00000165861	ZFYVE1	Medium
ENSG00000165832	TRUB1	Medium
ENSG00000165821	SALL2	Medium
ENSG00000165813	CCDC186	Medium
ENSG00000165806	CASP7	High
ENSG00000165804	ZNF219	High
ENSG00000165802	NSMF	Medium
ENSG00000165795	NDRG2	High
ENSG00000165782	PIP4P1	Medium
ENSG00000165775	FUNDC2	High
ENSG00000165757	JCAD	High
ENSG00000165732	DDX21	Medium
ENSG00000165731	RET	Medium
ENSG00000165724	ZMYND19	Medium
ENSG00000165714	BORCS5	Medium
ENSG00000165704	HPRT1	High
ENSG00000165699	TSC1	High
ENSG00000165689	ENTR1	Medium
ENSG00000165688	PMPCA	High
ENSG00000165678	GHITM	Medium
ENSG00000165672	PRDX3	High
ENSG00000165671	NSD1	High
ENSG00000165669	FAM204A	High
ENSG00000165660	ABRAXAS2	Medium
ENSG00000165655	ZNF503	Medium
ENSG00000165646	SLC18A2	High
ENSG00000165644	COMTD1	Medium
ENSG00000165637	VDAC2	High
ENSG00000165630	PRPF18	Medium
ENSG00000165629	ATP5F1C	Medium
ENSG00000165617	DACT1	High
ENSG00000165568	AKR1E2	Low
ENSG00000165566	AMER2	High
ENSG00000165553	NGB	Medium
ENSG00000165527	ARF6	Low
ENSG00000165526	RPUSD4	Medium
ENSG00000165525	NEMF	High
ENSG00000165516	KLHDC2	Medium
ENSG00000165512	ZNF22	High
ENSG00000165506	DNAAF2	Medium
ENSG00000165501	LRR1	High
ENSG00000165495	PKNOX2	High
ENSG00000165487	MICU2	Medium
ENSG00000165478	HEPACAM	Medium
ENSG00000165475	CRYL1	High
ENSG00000165458	INPPL1	High
ENSG00000165449	SLC16A9	Low
ENSG00000165434	PGM2L1	Medium
ENSG00000165424	ZCCHC24	Medium
ENSG00000165410	CFL2	High
ENSG00000165406	MARCHF8	Medium
ENSG00000165392	WRN	Medium
ENSG00000165355	FBXO33	High
ENSG00000165338	HECTD2	Medium
ENSG00000165322	ARHGAP12	High
ENSG00000165312	OTUD1	Medium
ENSG00000165288	BRWD3	Medium
ENSG00000165283	STOML2	High
ENSG00000165280	VCP	High
ENSG00000165271	NOL6	Medium
ENSG00000165264	NDUFB6	High
ENSG00000165246	NLGN4Y	Medium
ENSG00000165240	ATP7A	High
ENSG00000165238	WNK2	High
ENSG00000165233	CARD19	High
ENSG00000165215	CLDN3	High
ENSG00000165209	STRBP	Medium
ENSG00000165195	PIGA	Low
ENSG00000165194	PCDH19	High
ENSG00000165185	KIAA1958	Medium
ENSG00000165171	METTL27	High
ENSG00000165169	DYNLT3	Medium
ENSG00000165138	ANKS6	High
ENSG00000165125	TRPV6	Medium
ENSG00000165124	SVEP1	Low
ENSG00000165119	HNRNPK	High
ENSG00000165113	GKAP1	Low
ENSG00000165105	RASEF	High
ENSG00000165102	HGSNAT	High
ENSG00000165092	ALDH1A1	Low
ENSG00000165061	ZMAT4	High
ENSG00000165060	FXN	High
ENSG00000165030	NFIL3	Low
ENSG00000165029	ABCA1	Medium
ENSG00000165025	SYK	High
ENSG00000165006	UBAP1	Medium
ENSG00000164985	PSIP1	High
ENSG00000164976	MYORG	Medium
ENSG00000164972	C9orf24	Low
ENSG00000164970	FAM219A	Medium
ENSG00000164961	WASHC5	High
ENSG00000164949	GEM	High
ENSG00000164944	VIRMA	Medium
ENSG00000164941	INTS8	High
ENSG00000164932	CTHRC1	Low
ENSG00000164930	FZD6	Medium
ENSG00000164929	BAALC	High
ENSG00000164924	YWHAZ	High
ENSG00000164919	COX6C	High
ENSG00000164916	FOXK1	High
ENSG00000164904	ALDH7A1	High
ENSG00000164902	PHAX	Medium
ENSG00000164898	FMC1	Medium
ENSG00000164897	TMUB1	High
ENSG00000164896	FASTK	Medium
ENSG00000164889	SLC4A2	High
ENSG00000164885	CDK5	High
ENSG00000164880	INTS1	Medium
ENSG00000164877	MICALL2	Low
ENSG00000164850	GPER1	High
ENSG00000164830	OXR1	High
ENSG00000164828	SUN1	High
ENSG00000164823	OSGIN2	Medium
